general-projectname,general-readlength,general-runname,general-samplename,subsample-rawreads,subsample-subsampledreads,fastqc-meanreadqualityR1,fastqc-pct-adapter,fastqc-pct-deduplicated,fastqc-pct-dimer,fastqc-pct-gc,fastqc-sequencelength,fastqc-totalsequences,fastqspeciesscreen-pct-Adapters,fastqspeciesscreen-pct-Chloroplast,fastqspeciesscreen-pct-Mitochondria,fastqspeciesscreen-pct-NoHit,fastqspeciesscreen-pct-PhiX,fastqspeciesscreen-pct-Vectors,fastqspeciesscreen-pct-ecoli,fastqspeciesscreen-pct-human,fastqspeciesscreen-pct-mouse,fastqspeciesscreen-pct-rRNA
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,219.L001,2440976,2440976,31.6,4.79,66.73,0.07,56,101,2000000,0.00,0.00,0.00,94.74,0.00,0.00,0.00,0.20,0.62,4.44
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,220.L001,1343165,1343165,31.5,0.95,69.53,0.38,53,101,1343165,0.00,0.00,0.00,95.66,0.00,0.00,0.00,0.48,3.14,0.72
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,221.L001,1882131,1882131,31.9,3.51,67.99,0.05,55,101,1882131,0.00,0.00,0.00,96.18,0.00,0.00,0.00,0.51,0.18,3.13
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,222.L001,1971368,1971368,31.7,3.81,68.49,0.18,55,101,1971368,0.00,0.00,0.00,95.47,0.00,0.00,0.00,0.27,0.74,3.52
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,223.L001,2522576,2522576,31.8,7.00,62.95,0.11,57,101,2000000,0.00,0.00,0.00,92.54,0.00,0.00,0.00,0.53,0.24,6.69
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,224.L001,1993672,1993672,31.5,1.71,66.12,0.27,52,101,1993672,0.00,0.01,0.00,96.44,0.00,0.00,0.00,0.36,1.28,1.91
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,225.L001,1875136,1875136,31.8,4.30,67.53,0.13,55,101,1875136,0.00,0.00,0.00,95.59,0.00,0.00,0.00,0.19,0.70,3.52
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,226.L001,1934505,1934505,31.7,2.67,68.03,0.25,53,101,1934505,0.00,0.00,0.00,96.04,0.00,0.00,0.00,0.34,1.08,2.54
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,227.L001,2329194,2329194,31.8,4.49,67.22,0.14,55,101,2000000,0.00,0.00,0.00,94.85,0.00,0.00,0.00,0.20,0.64,4.31
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,228.L001,2865679,2865679,31.8,2.28,67.55,0.18,53,101,2000000,0.00,0.00,0.00,96.47,0.00,0.00,0.00,0.23,0.89,2.41
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,229.L001,2455592,2455592,31.9,3.49,67.57,0.09,54,101,2000000,0.00,0.00,0.00,95.91,0.00,0.00,0.01,0.26,0.80,3.02
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,230.L001,2235345,2235345,31.7,2.90,66.35,0.26,54,101,2000000,0.00,0.00,0.00,95.88,0.00,0.00,0.00,0.21,1.03,2.88
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,231.L001,2784129,2784129,31.8,2.99,65.43,0.13,53,101,2000000,0.00,0.00,0.00,96.52,0.00,0.00,0.00,0.21,0.67,2.60
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,232.L001,2308006,2308006,31.7,1.63,66.87,0.27,52,101,2000000,0.00,0.00,0.00,96.86,0.00,0.00,0.00,0.35,1.03,1.76
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,233.L001,2172390,2172390,31.8,3.34,67.36,0.16,55,101,2000000,0.00,0.00,0.00,95.55,0.00,0.00,0.00,0.25,1.03,3.17
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,234.L001,2745231,2745231,31.9,4.43,66.04,0.13,55,101,2000000,0.00,0.00,0.00,95.64,0.00,0.00,0.00,0.22,0.69,3.45
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,235.L001,2505639,2505639,31.6,2.85,68.36,0.18,54,101,2000000,0.00,0.00,0.00,95.86,0.00,0.00,0.00,0.28,1.06,2.80
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,236.L001,2611713,2611713,31.9,2.12,65.20,0.05,54,101,2000000,0.00,0.00,0.00,96.79,0.00,0.00,0.00,0.19,1.06,1.96
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,237.L001,2235168,2235168,31.8,2.57,65.26,0.16,53,101,2000000,0.00,0.00,0.00,96.13,0.00,0.00,0.00,0.31,1.06,2.50
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,238.L001,1843389,1843389,31.5,2.45,71.00,0.06,54,101,1843389,0.00,0.00,0.00,96.52,0.00,0.00,0.00,0.31,0.82,2.35
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,239.L001,3015433,3015433,31.9,3.46,66.17,0.10,55,101,2000000,0.00,0.00,0.00,96.06,0.00,0.00,0.00,0.19,0.85,2.90
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,24.2nd.seq.L001,2704908,2704908,31.9,5.13,64.26,0.08,56,101,2000000,0.00,0.00,0.00,94.23,0.00,0.00,0.00,0.53,0.20,5.04
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,40.2nd.seq.L001,2816261,2816261,31.9,5.02,64.10,0.12,57,101,2000000,0.00,0.00,0.00,93.85,0.00,0.00,0.00,0.26,0.82,5.07
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,8.2nd.seq.L001,2818477,2818477,31.7,3.87,67.88,0.15,55,101,2000000,0.00,0.00,0.00,94.80,0.00,0.00,0.00,0.32,0.98,3.90
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,98.2nd.seq.L001,2239425,2239425,31.9,3.66,67.32,0.06,55,101,2000000,0.00,0.00,0.00,95.84,0.00,0.00,0.00,0.70,0.19,3.27
undef,101.00,230411_VH00601_152_AACLJHTM5,Mean,2468407.36,2468407.36,31.76,4.08,65.06,0.18,55.92,101.00,1872654.04,0.00,0.00,0.00,94.93,0.00,0.00,0.04,0.44,0.81,3.78,
